Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:724YzDw7HQM5RQMc64CFT4,Bergamot,Metal Fingers Presents: Special Herbs Vol. 9 & 0,MF DOOM,2005-07-12,213653,22,false,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Metalface Records,574,711,8,-3108,1,43,264,845,142,353,92998,4
spotify:track:5KUNwkaNf8l5A9sXZhiCgI,Rapp Snitch Knishes,MM..FOOD,MF DOOM;Mr. Fantastik,2004-11-16,172893,74,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Rhymesayers,728,832,7,-6827,1,267,327,0,504,825,95051,4
spotify:track:7EQvdUJqZ2i7SWvSB2VqGA,Doomsday,Operation: Doomsday (Complete),MF DOOM;Pebbles The Invisible Girl,1999-10-19,298053,73,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Metalface Records,856,0.84,6,-7736,0,334,0.0973,0,0.0773,792,95416,4
spotify:track:6lrDckuosGpwEHtm1hHBcf,November Has Come,Demon Days,Gorillaz;MF DOOM,2005-05-23,165093,67,false,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Parlophone UK,702,567,7,-8561,1,239,0.0815,0.0000275,0.0864,667,84153,4
spotify:track:21O0XXPEWPtePt5RMY93Ob,All Caps,Madvillainy,Madvillain;Madlib;MF DOOM,2004-03-24,130479,70,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,alternative hip hop,jazz rap,plunderphonics,east coast hip hop",Stones Throw Records,358,889,1,-8045,1,335,266,0.0000146,172,666,85.61,4
spotify:track:4b82tXj35SycILuILcgBQ6,Hoe Cakes,MM..FOOD,MF DOOM,2004-11-16,234146,72,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Rhymesayers,511,613,1,-6371,1,321,0.0987,0,144,0.95,92184,4
spotify:track:6bmJYo1KS2X2nzQrCGzdOe,Benzi Box,THE MOUSE & THE MASK,DANGERDOOM;MF DOOM;Danger Mouse;CeeLo Green,2005-10-17,180093,50,false,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Lex Records,894,458,2,-8594,1,0.0508,0.0666,0.0187,107,682,97.01,4
spotify:track:6OkDb9fyi22Pr6QJIrUNdJ,Rhymes Like Dimes,Operation: Doomsday (Complete),MF DOOM;DJ Cucumber Slice,1999-10-19,258613,66,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Metalface Records,646,752,0,-5652,1,268,664,0,0.17,761,99948,4
spotify:track:4WM1hvYr2NC6bQnQXcj3sH,Meat Grinder,Madvillainy,Madvillain;Madlib;MF DOOM,2004-03-24,131866,63,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,alternative hip hop,jazz rap,plunderphonics,east coast hip hop",Stones Throw Records,571,717,6,-8333,1,336,359,0.00000312,797,881,87.54,4
spotify:track:4BnrGx9tWNF8aiXl1UhDBa,One Beer,MM..FOOD,MF DOOM,2004-11-16,258586,71,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Rhymesayers,376,718,7,-6.7,1,246,0.0996,0.00332,633,615,91115,4
spotify:track:3T2LUDcZRrOnYzV1FprZTy,Crosshairs,THE MOUSE & THE MASK,DANGERDOOM;MF DOOM;Danger Mouse,2005-10-17,146853,47,false,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Lex Records,428,525,9,-8035,0,205,0.14,0.0000734,602,578,171797,4
spotify:track:2Vy16OMt19FH30uQNTFdLk,THAT'S THAT,BORN LIKE THIS,MF DOOM,2009-03-23,135066,54,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop",Lex Records,499,728,8,-4922,0,385,235,0,686,853,96089,4
spotify:track:1YgDGKyKhFlimPw3mLavPG,Fancy Clown (feat. Viktor Vaughn),Madvillainy,Madvillain;Madlib;MF DOOM;Viktor Vaughn,2004-03-24,115826,62,true,12127382980,2025-08-09T15:49:57Z,"experimental hip hop,alternative hip hop,jazz rap,plunderphonics,east coast hip hop",Stones Throw Records,537,753,8,-9441,1,0.35,328,0.0000152,368,693,90292,4
